CUST_ID,CUST_TYPE,label,anomaly_prob,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,feature_19,feature_20,feature_21,feature_22,feature_23,feature_24,feature_25,feature_26,feature_27,feature_28,feature_29,feature_30,feature_31,feature_32,feature_33,feature_34,feature_35,feature_36,feature_37,feature_38,feature_39,feature_40,feature_41,feature_42,feature_43,feature_44,feature_45,feature_46,feature_47,feature_48,feature_49,feature_50,feature_51,feature_52,feature_53,feature_54,feature_55,feature_56,feature_57,feature_58,feature_59,feature_60,feature_61,feature_62,feature_63
369001040039,1,1,0.29481270909309387,0.0,0.9640276,0.0,0.051532038,0.0,-0.7615419,0.9640276,-3.4529123e-08,5.712095e-16,-0.0,-0.7615942,-1.532327e-24,-1.9773702e-11,0.0,0.0,0.0,1.2184551e-17,-3.0838668e-26,0.9640275,-0.6890836,0.0,0.07686702,0.012357905,-0.9640276,-0.7615942,1.916396e-36,-0.7615942,-0.9640276,0.0004691215,-4.4866306e-30,6.668622e-16,0.0,0.0,3.2338462e-11,0.9640276,-0.0,0.9640276,0.0,-0.96402353,-0.006698229,-3.3335654e-11,0.0,0.0073222257,-0.7615942,0.19368564,0.0,0.7587698,0.37348208,-0.9640276,0.0,0.0,-9.640834e-08,0.0,-0.9640276,-0.9640276,0.0,5.6195895e-19,4.817352e-08,-4.587373e-19,0.0,0.0,-0.0,4.8493863e-29,1.0703729e-08
369001040051,1,0,0.24306604266166687,0.0,0.7615942,0.0,0.036291536,0.0,-0.761594,0.7615942,-2.003249e-06,1.3913188e-18,-0.0,-0.7615942,-9.607747e-25,-2.2027213e-12,0.0,0.0,0.0,1.1341802e-16,-1.3435679e-26,0.7615942,-0.22153638,0.0,0.09669714,0.0006680059,-0.7615942,-0.7615942,4.490882e-34,-0.7615942,-0.7615942,0.00011040863,-1.6439616e-30,8.61507e-12,0.0,0.0,5.1682252e-11,0.7615942,-0.0,0.7615942,0.0,-0.7615942,-0.00035733255,-1.323786e-08,0.0,2.8477341e-05,-0.76159406,0.03256362,0.0,0.042744115,0.7118857,-0.7615942,0.0,0.0,-2.643833e-05,0.0,-0.7615942,-0.7615942,0.0,1.5648624e-20,4.96334e-09,-3.7735392e-18,0.0,0.0,-9.520184e-39,5.457221e-29,4.943365e-08
369001040049,1,0,0.3054724335670471,0.0,0.7615942,0.0,0.009735135,0.0,-0.76157504,0.7615942,-2.218857e-07,2.394887e-18,-0.0,-0.7615942,-3.2004945e-23,-1.9244743e-11,0.0,0.0,0.0,3.5812122e-16,-1.1469477e-25,0.7615942,-0.4301515,0.0,0.10103707,0.0011345766,-0.7615942,-0.7615942,5.153777e-34,-0.7615942,-0.7615942,0.0002125659,-8.498229e-31,4.2650798e-16,0.0,0.0,8.740005e-10,0.7615942,-0.0,0.7615942,0.0,-0.7615942,-0.0035217574,-8.454352e-12,0.0,0.001636788,-0.7615942,0.15597239,0.0,0.6542299,0.42047292,-0.7615942,0.0,0.0,-4.184459e-08,0.0,-0.7615942,-0.7615942,0.0,9.1107986e-20,9.708088e-08,-9.1292745e-20,0.0,0.0,-0.0,4.3476857e-29,1.6805272e-08
798,1,0,0.000990325235761702,-0.010467103,0.99999154,1.7482721e-08,0.7611221,4.896474e-15,-0.9305892,1.0,-0.09664378,-0.11935737,-1.0527563e-07,-0.7615943,-0.99991643,-0.00711404,1.7648422e-16,0.013291132,1.1133203e-05,0.0006327204,-0.99983823,0.99999404,-0.7235027,5.3626963e-16,0.99557865,-0.031640634,-1.0,-0.7615942,0.00093815685,-0.98211503,-1.0,1.1164135e-05,-0.007224062,0.0033558346,-0.00028039544,2.7437553e-12,0.024766337,0.9995269,-1.3361835e-10,1.0,0.00013703741,0.9960201,-3.994536e-06,-0.86303854,-2.77983e-05,0.00061892264,-0.76024085,0.7571533,0.000101589285,-0.6361024,0.99895716,-0.99991274,-0.005321091,6.8763335e-08,-0.9970808,-0.09064639,-0.9920846,-1.0,-9.263351e-06,-0.038148653,0.0006999371,-0.051865175,1.1418934e-11,-0.0049317987,-7.239785e-07,0.0014343366,0.11827271
369000230051,1,0,0.043471209704875946,-5.4151567e-13,0.9640276,0.0,0.119927585,0.0,-0.7614493,0.9640276,-5.5376184e-09,8.680693e-06,-0.0,-0.7615942,-5.07729e-07,-0.00023916962,0.0,2.3236945e-18,0.0,1.5250474e-16,-5.4025904e-08,0.9640276,-0.7553255,0.0,0.6965483,0.005744499,-0.9640276,-0.7615942,1.7293395e-34,-0.76159924,-0.9640276,0.0052621523,-2.842688e-29,1.4226016e-17,-4.2112134e-28,0.0,4.360587e-08,0.96402526,-0.0,0.9640221,1.5079079e-27,-0.9640249,-0.44732904,-1.919767e-12,-3.1984447e-38,0.018315434,-0.7615941,0.58882356,8.863084e-39,-0.5838035,0.523478,-0.9640274,-1.4063559e-29,0.0,-0.032664392,-5.708041e-15,-0.9640272,-0.9640276,-5.6e-44,6.1001356e-07,1.4168886e-09,-1.0951761e-19,0.0,-2.5452635e-34,-0.0,2.6038946e-28,2.997156e-07
369001030044,1,1,0.278866708278656,0.0,0.9640276,0.0,0.006209691,0.0,-0.7615942,0.9640276,-1.9591875e-05,1.9175011e-20,-0.0,-0.7615942,-3.8547417e-23,-3.5238822e-11,0.0,0.0,0.0,1.4659497e-16,-1.5053801e-24,0.9640275,0.7580042,0.0,0.2249048,0.00046192616,-0.9640276,-0.7615942,8.2163676e-32,-0.7615942,-0.9640276,1.3948633e-07,-5.1707e-30,2.9387376e-10,0.0,0.0,4.1230123e-12,0.9640276,-0.0,0.9640276,0.0,-0.96402204,-2.115166e-08,-5.374816e-08,0.0,6.141475e-07,-0.7615942,0.0016565737,0.0,0.040689543,0.9500876,-0.9640276,0.0,0.0,-0.003926796,0.0,-0.9640276,-0.9640276,0.0,-2.0260138e-20,8.709974e-09,-4.6022923e-17,0.0,0.0,-1.6934903e-36,1.4061099e-28,3.305001e-08
369000560061,1,0,0.05221995338797569,-0.0004846462,0.9640276,0.0,0.09828708,0.0,-0.7615942,0.9640274,-0.0002555879,4.815042e-06,-2.2e-44,-0.7615942,-0.39072135,-0.06472132,0.0,0.00025216633,3.3617661e-37,6.253006e-15,-0.6358292,0.96402645,0.49294382,0.0,0.8990755,7.5244216e-08,-0.9637579,-0.7615942,1.5814018e-28,-0.7615942,-0.9640272,1.0847421e-08,-2.550748e-23,2.8073555e-10,-3.1043296e-08,0.0,1.5690651e-12,0.963962,-0.0,0.9578889,-3.2876196e-07,-0.048040457,-2.6318945e-09,-4.7742594e-07,-7.433304e-13,4.6550156e-07,-0.7615942,0.06529852,3.8007027e-08,0.08256933,0.96197224,-0.9640276,-8.549401e-06,0.0,-0.766696,0.19050623,-0.9640213,-0.9640276,-1.3108619e-30,-0.0020052537,9.7356825e-08,-1.1028432e-14,0.0,-5.1573494e-15,-1.10973286e-32,1.9580971e-25,6.5796485e-08
4488,1,0,0.004229040816426277,-9.888433e-09,1.0,0.0,0.72789717,0.0,-0.7614644,1.0,-2.1898575e-08,0.028612217,-2.661e-42,-0.7615942,-0.00021119927,-0.06240401,0.0,2.1804674e-12,4.252891e-36,8.524016e-15,-7.4515316e-05,1.0,-0.7613832,0.0,1.0,0.005998163,-1.0,-0.7615942,1.478413e-29,-0.76169544,-1.0,0.0006986588,-2.9444543e-24,1.291055e-16,-3.576127e-20,0.0,1.3467463e-06,1.0,-0.0,1.0,4.1260777e-20,-1.0,-0.023573851,-1.0325036e-11,-8.801138e-36,0.005824489,-0.76159376,0.73697245,1.1870775e-28,-0.712653,0.938251,-1.0,-2.3700504e-21,0.0,-1.0,-6.5709865e-10,-1.0,-1.0,-5.370932e-34,0.0005779524,1.1753466e-09,-5.596973e-16,0.0,-8.262845e-26,-4.1152386e-34,6.298468e-24,5.5609166e-06
80948,1,0,0.007900026626884937,-9.779498e-09,0.9999993,4.2783764e-13,0.73548484,1.3007386e-27,-0.7595775,0.99999976,-0.027428288,0.0003019807,-5.863097e-09,-0.7615942,-4.5576257e-05,-0.012862372,2.0448393e-22,4.68621e-13,8.754662e-08,5.932185e-05,-3.42787e-06,0.9999992,-0.735074,1.3301711e-33,0.9994255,0.061516,-0.99999976,-0.7615942,7.6973065e-06,-0.94713724,-0.99999976,0.0016504095,-1.0440018e-05,0.0029224446,-3.2337047e-21,1.9762071e-16,0.78801525,0.99938285,-1.8909894e-14,0.99999976,5.61162e-21,-0.99999946,-0.0038670436,-0.17205904,-9.116101e-19,0.01579495,-0.7553958,0.73836577,1.8045828e-29,-0.7521839,0.99131036,-0.99996865,-1.8154417e-21,3.7643718e-11,-0.9789729,-1.9466166e-10,-0.9999608,-0.99999976,-3.2734985e-17,0.00011572871,2.4984536e-05,-6.4365326e-05,3.3694486e-15,-2.0613616e-16,-4.1558117e-09,1.949583e-05,0.7121499
369000240178,1,0,0.00023651278752367944,-0.005834681,0.9999981,2.2710149e-13,0.7023789,1.7835274e-20,-0.8023302,1.0,-0.043495808,-0.99982065,-2.2618744e-10,-0.7615942,-0.99999994,-0.024989879,2.6987667e-23,1.0,4.7172936e-08,0.00019861404,-1.0,0.9999963,-0.747703,1.101087e-17,0.99997973,-0.0514552,-1.0,-0.7615942,1.0035263e-06,-0.99912405,-1.0,0.0023127005,-7.032431e-06,0.00035836833,-0.9999998,1.8495954e-16,0.0359566,0.9993173,-2.807566e-14,1.0,0.062138636,0.7368445,-0.0068264273,-0.13158706,-6.4120536e-09,0.0045167236,-0.75738055,0.7382821,0.99994975,-0.7600319,0.98719645,-0.99977875,-0.98792344,9.66925e-12,-0.99870986,1.0,-0.99994606,-1.0,-3.654842e-05,0.10719476,8.662311e-05,-0.0007895339,4.086435e-16,0.0073073367,-9.575011e-09,6.843159e-06,0.23966077
369000610014,1,0,0.0017109374748542905,0.85440993,1.0,2.8693634e-24,0.037464697,0.0,-0.7615919,1.0,-0.40548614,-0.0001539319,-8.3042626e-20,-0.7615942,-1.0,-0.9963559,0.0,-0.23716792,3.660791e-18,4.1975923e-08,-0.998427,1.0,0.6736173,-2.413723e-33,1.0,0.00069520535,-1.0,-0.7615942,8.776118e-12,-0.7616003,-1.0,7.998787e-09,-5.272655e-13,0.00017278401,-0.44990677,4.1957037e-33,1.4815654e-06,0.99999917,-4.4621634e-26,1.0,-0.9715907,-1.0,-5.620313e-10,-0.021624014,-4.3063465e-22,3.892589e-06,-0.7615941,0.49160928,0.99799955,-0.44950828,0.9993312,-1.0,-0.9852668,8.1912196e-22,-1.0,1.0,-1.0,-1.0,-4.8971716e-12,-0.10156277,0.00038018046,-6.836955e-08,5.206357e-32,5.0459653e-06,-1.8582799e-16,9.773047e-12,0.00027509857
181828,1,0,0.002266257768496871,-0.005072901,0.9999722,6.7795303e-09,0.76085335,2.9051472e-15,-0.9024316,1.0,-0.025983036,-0.15566449,-4.5065443e-07,-0.7615944,-0.99845135,-0.015264216,1.5864554e-16,0.01285775,3.9098727e-06,0.00020560242,-0.99617714,0.9999969,-0.7465949,3.772397e-16,0.99670476,0.084212214,-1.0,-0.7615942,0.00015753256,-0.91304654,-1.0,7.46836e-05,-0.004771549,0.0016167542,-0.00029127483,4.5952174e-13,0.10731578,0.99919575,-1.0356756e-10,1.0,0.00025872348,-0.99999994,-3.822135e-05,-0.6198803,-1.6533439e-05,0.004079424,-0.75897187,0.7545922,5.4481945e-05,-0.48760423,0.99676585,-0.9997104,-0.0046675038,2.766211e-08,-0.9997081,-0.11348167,-0.9873627,-1.0,-8.237327e-06,-0.038029157,0.00048010828,-0.012051804,1.2973564e-11,-0.009551737,-2.2450182e-07,0.0013738555,0.18617934
