CUST_ID,CUST_TYPE,label,anomaly_prob,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,feature_19,feature_20,feature_21,feature_22,feature_23,feature_24,feature_25,feature_26,feature_27,feature_28,feature_29,feature_30,feature_31,feature_32,feature_33,feature_34,feature_35,feature_36,feature_37,feature_38,feature_39,feature_40,feature_41,feature_42,feature_43,feature_44,feature_45,feature_46,feature_47,feature_48,feature_49,feature_50,feature_51,feature_52,feature_53,feature_54,feature_55,feature_56,feature_57,feature_58,feature_59,feature_60,feature_61,feature_62,feature_63
369000110092,1,0,0.08788947016000748,-0.29736862,-0.0015579893,1.1223201e-08,-0.9993279,0.7615942,0.30367935,0.0026233692,0.8988781,-0.36522242,0.9993273,-0.8365606,4.3624644e-22,0.79674375,-0.05280407,0.60833573,-6.759901e-20,8.695411e-21,-4.549395e-07,0.99925345,-0.7407497,4.063332e-27,-1.286902e-15,0.67026544,-6.998747e-11,3.4706694e-13,0.99919814,5.84208e-16,0.34883502,1.017132e-06,0.7124996,-9.342094e-16,-2.3963858e-12,0.76123935,-0.00059178413,0.99931467,6.546139e-05,0.0015217416,-1.0436661e-15,-0.0004814239,0.9993293,1.2289234e-08,-0.00037910714,4.3897787e-25,-0.76105726,0.0041123657,2.4772459e-07,0.00056077057,0.9987148,-1.1351552e-09,0.46621042,-8.861214e-10,1.0007266e-10,0.8440486,-1.0138262e-16,8.470507e-06,6.656738e-08,-6.454256e-08,0.3676355,0.99926925,0.82005525,1.137276e-06,-0.3454125,4.6188927e-07,-1.540066e-16
144338,1,0,0.0002254649152746424,0.9639351,0.0062111104,0.00014347729,-0.898363,0.7615929,-0.503627,-0.7605499,0.9454593,-0.00011618171,0.9554089,-0.94854,5.625839e-08,0.946253,-0.9633935,0.33635718,-1.9365294e-07,-8.675534e-11,-0.00028663027,0.95619565,-0.9549643,4.9694626e-07,0.06754003,0.75622463,-6.421009e-06,0.00041316196,0.9503805,0.00011509525,0.01465039,0.75270844,0.76151943,-0.01865453,0.000412465,0.5566756,-0.963266,0.96334267,0.27922392,0.9569158,0.00010560033,0.013229574,0.9636901,0.005224643,-0.17667532,1.2672206e-12,-0.027528401,0.17021151,0.75178194,-0.01035248,-0.95499885,-0.52327377,0.088923715,2.9618039e-05,-0.00036992264,0.96276975,-3.89296e-08,0.75654334,-0.6021296,-0.00022997466,0.2750897,0.08954373,0.9337351,0.8399751,-0.7587954,0.7414343,-9.4728983e-07
369000520192,1,0,0.002536497078835964,0.7588537,7.977248e-08,1.4342315e-05,-0.99504864,0.7615942,0.00027958862,-0.7591264,0.86964583,-0.107158706,0.9950547,-0.89666563,7.1927353e-10,0.849034,-0.9425774,0.06313973,-6.054078e-10,-6.455243e-12,-0.00023926204,0.99501324,-0.84004515,4.2376574e-11,-2.713753e-05,0.736646,-1.0319987e-06,0.001044312,0.9950414,4.8937427e-14,0.333147,0.11145313,0.76146805,-9.804027e-18,-6.8281197e-06,0.71214765,-0.976789,0.9950517,5.089722e-10,0.94994754,-9.7691105e-11,2.1489679e-07,0.9950548,0.0010399412,-1.933816e-08,6.073054e-14,-0.48359573,2.6675854e-08,1.4387172e-13,-6.5310005e-08,0.7739624,-1.9058982e-19,0.000945955,-0.00010141786,2.7055526e-08,0.9866373,-2.066335e-09,1.2531208e-07,4.8383305e-16,-4.8964914e-05,0.6054781,0.9950546,0.6954994,0.022424445,-0.6102347,0.36598513,-6.8400445e-09
38,1,0,0.5617855787277222,-0.9834493,0.004714351,0.0036508753,-0.4796547,0.7616372,0.99996054,0.12955965,0.8507011,-0.9963929,1.0,-0.88115185,2.884516e-05,0.09945691,-0.9995584,0.0014050493,-0.00030398223,-9.896363e-06,-0.17798738,0.9759075,-0.7979918,1.271905e-05,-0.11200742,0.6224762,-0.0131773185,0.08096406,0.9999993,7.2787584e-06,0.75621104,0.8632482,0.3461753,-4.817841e-07,-0.04589642,0.72205293,-0.42944357,1.0,0.99987745,0.17349403,-0.00052133005,0.99999976,1.0,0.11040364,-0.99999964,2.5889624e-06,-0.710824,0.99816775,0.36862618,-0.49439654,1.0,-0.115167886,0.89786756,-0.217367,0.027506974,0.63464034,-0.0032587408,0.72311413,0.9919054,-0.06544628,0.4484278,1.0,0.69970584,0.02857418,-0.03936529,0.026716787,-0.0073854956
268,1,0,0.006709180306643248,-0.12901743,0.09069938,5.0627305e-19,-1.0,0.7615942,0.09734342,-0.7491624,0.9580685,-0.9612707,1.0,-0.9483942,0.0,0.99954826,-0.67651165,0.9902962,-0.0,0.0,-2.2617993e-15,1.0,-0.84759426,0.0,-3.5220775e-36,0.6599146,-8.729704e-24,4.0322172e-29,1.0,1.2532707e-37,0.0016362179,1.8193167e-14,0.76159006,-8.668443e-37,-5.1555122e-27,0.761594,-6.4857727e-07,1.0,0.3868387,9.700275e-07,-2.2388748e-34,0.012774805,1.0,2.8895058e-19,-0.22903894,0.0,-0.761582,0.6567865,0.64803064,0.23087053,0.99999976,-0.69846934,-0.23562121,-1.3688208e-21,4.0338208e-25,0.9999946,-1.5546414e-37,0.30829775,0.6362642,-1.2982387e-17,0.4567379,1.0,0.9289543,4.1978302e-13,-0.7365095,2.9892186e-14,-1.7162243e-36
369001030077,1,1,0.7969988584518433,-0.7576412,-3.9086774e-32,1.3230957e-20,-0.7615942,0.7615942,2.6251925e-22,-0.29359975,0.24962911,-0.43224505,0.7615942,-0.0907021,0.0,0.0060461387,-6.5784064e-15,0.76150876,-0.0,-0.0,-1.9872164e-17,0.7615942,-0.10874917,0.0,-0.0,0.05516936,-1.3827198e-28,2.2336038e-32,0.7615942,0.0,3.592321e-06,5.9579715e-17,0.761594,0.0,-2.4030142e-30,0.76159406,-4.160568e-06,0.7615942,0.0,1.3087021e-05,0.0,3.5810037e-31,0.7615942,1.4988962e-21,-9.802466e-37,0.0,-0.76156723,2.35064e-34,0.0,-3.6282994e-28,0.7615942,0.0,7.258636e-17,-6.089532e-25,6.0115392e-31,0.027926277,-0.0,0.0,0.0,-3.7873576e-19,0.7213522,0.7615942,0.12267605,7.688401e-13,-0.10324921,5.9188854e-15,-0.0
257428,1,1,0.9668271541595459,-0.9926547,-0.4784201,0.039387286,-0.06405557,0.6528496,0.99547744,0.72994494,0.84344524,-0.9597983,0.99999857,-0.8108422,0.008342904,0.010625493,-0.9870611,0.03088577,-0.005963384,-0.001976034,-0.38714388,0.8084196,-0.8435653,0.002988483,-0.37435514,-0.58497065,-0.0039591733,0.26747197,0.99982417,0.006800583,0.7700822,0.88586515,-0.46544585,-0.00024257683,-0.0767851,0.6578599,-0.0646132,0.9999901,0.70037943,0.30291536,-0.009442575,0.92466587,0.99999833,0.39462537,-0.12444269,0.001358662,-0.74179006,0.9852356,0.003761641,0.3317333,0.9999995,-0.0005416809,0.980043,-0.47498673,0.14185433,0.12290587,-0.025235554,0.01221978,0.76593953,-0.5703037,0.29194283,0.99989593,0.7771722,0.047879584,-0.023897545,0.029180707,-0.05207208
369001060051,1,1,0.8488469123840332,-0.74809366,-2.7729054e-30,3.6233273e-21,-0.7615942,0.7615942,3.905143e-22,-0.19850975,0.18395461,-0.7541981,0.7615942,-0.07991168,0.0,0.0012100417,-7.202665e-14,0.76157737,-0.0,-0.0,-1.334661e-19,0.7615942,-0.11353508,0.0,-1e-45,0.041088376,-1.3429983e-27,4.988738e-32,0.7615942,0.0,5.3716085e-06,1.5712248e-17,0.761594,0.0,-8.9310105e-32,0.7615937,-2.8594486e-06,0.7615942,0.0,2.9668041e-05,0.0,7.6603886e-34,0.7615942,1.8273377e-21,-2.1504971e-36,0.0,-0.7613471,8.733309e-36,0.0,-1.4020496e-28,0.7615942,0.0,1.2659184e-16,-7.818928e-26,5.902193e-32,0.0036089257,-0.0,0.0,0.0,-9.319303e-21,0.75663203,0.7615942,0.10857942,2.5501422e-13,-0.05122589,4.842319e-13,-0.0
369001030091,1,1,0.8648093938827515,-0.7608452,-1.1953527e-31,1.3572813e-21,-0.7615942,0.7615942,2.9091113e-22,-0.13939863,0.10749896,-0.7012316,0.7615942,-0.060305472,0.0,0.0065683094,-3.5082553e-14,0.76157194,-0.0,-0.0,-6.0863665e-20,0.7615942,-0.07080438,0.0,-0.0,0.047732137,-2.5839258e-27,2.0004295e-31,0.7615942,0.0,7.657154e-06,7.2560003e-16,0.7615938,0.0,-4.85068e-31,0.7615929,-8.128247e-06,0.7615942,0.0,3.4670364e-05,0.0,4.800629e-32,0.7615942,8.738134e-22,-1.8995125e-37,0.0,-0.75113434,3.613727e-36,0.0,-7.5642776e-29,0.7615942,0.0,3.141065e-16,-1.7780193e-24,7.696206e-32,0.02894464,-0.0,0.0,0.0,-1.0780533e-21,0.75913215,0.7615942,0.10152509,5.2100576e-12,-0.05495166,8.428892e-13,-0.0
369000520025,1,0,0.07217444479465485,0.99964607,1.4221979e-06,3.0585737e-18,-1.0,0.7615942,0.99996537,-0.71507883,0.75004137,-0.10345096,1.0,-0.5732107,0.0,0.9985703,-1.0,0.9445128,-0.0,-0.0,-6.383554e-14,1.0,-0.34840885,0.0,-1.5683038e-28,0.14624454,-1.2867295e-25,4.498503e-27,0.99999994,1.224451e-34,2.9006598e-05,5.9523865e-14,0.76159406,-5.8652948e-30,-2.0028679e-25,0.7615942,-0.0010790945,0.99999887,0.9999737,0.00015377415,-2.8757615e-33,0.9999849,1.0,1.3354269e-17,0.9995417,0.0,-0.7615852,0.9999998,0.5585096,0.0061444226,-1.0,-0.13776381,0.31293434,-2.3509152e-21,2.6603385e-24,0.99998474,-1.5920617e-38,0.9999999,-0.99995285,-1.7510692e-16,0.74189013,1.0,0.13724986,5.9771e-12,-0.52619755,7.507866e-13,-7.083318e-37
