CUST_ID,CUST_TYPE,BUSI_CODE,FUND_CODE,CONF_AMTS,GENDER,NET_CODE,RISK_LEV,CONF_YEAR,CONF_MONTH,CONF_DAY,AGE,TELL_PREFIX,COUNTY_PROV,COUNTY_CITY,COUNTY_DIST,target,5D_TOTAL,FLAG
18,1,3,022439,10000.0,2.0,1,5.0,2024,11,11,0.3275862068965517,1372592,31,01,04,0,10000.0,1
18,1,2,004100,31.11,2.0,1,5.0,2024,11,15,0.3275862068965517,1372592,31,01,04,0,20000.0,1
18,1,6,013605,528.61,2.0,1,5.0,2024,11,15,0.3275862068965517,1372592,31,01,04,0,20031.11,1
18,1,1,004399,39.84,2.0,1,5.0,2024,11,18,0.3275862068965517,1372592,31,01,04,0,559.72,1
18,1,1,000171,31.11,2.0,1,5.0,2024,11,19,0.3275862068965517,1372592,31,01,04,0,599.5600000000001,1
18,1,1,SZQ867,304214.7,2.0,1,5.0,2024,11,26,0.3275862068965517,1372592,31,01,04,0,0.0,1
18,1,2,SXE345,497623.05,2.0,1,5.0,2024,11,27,0.3275862068965517,1372592,31,01,04,0,304214.7,1
18,1,1,004399,123.0,2.0,1,5.0,2024,11,29,0.3275862068965517,1372592,31,01,04,1,801837.75,1
18,1,1,004399,94723.1,2.0,1,5.0,2024,12,11,0.3275862068965517,1372592,31,01,04,0,0.0,1
18,1,1,004399,10000.0,2.0,1,5.0,2024,12,12,0.3275862068965517,1372592,31,01,04,0,94723.1,1
18,1,1,004399,6000.0,2.0,1,5.0,2024,12,12,0.3275862068965517,1372592,31,01,04,0,104723.1,1
18,1,1,004399,100.0,2.0,1,5.0,2024,12,17,0.3275862068965517,1372592,31,01,04,0,0.0,1
18,1,5,460001,100.0,2.0,1,5.0,2024,12,20,0.3275862068965517,1372592,31,01,04,0,100.0,1
18,1,5,040035,100.0,2.0,1,5.0,2024,12,24,0.3275862068965517,1372592,31,01,04,0,100.0,1
18,1,5,000011,56.0,2.0,1,5.0,2024,12,24,0.3275862068965517,1372592,31,01,04,0,200.0,1
18,1,5,161604,50.0,2.0,1,5.0,2024,12,25,0.3275862068965517,1372592,31,01,04,0,156.0,1
18,1,1,004399,1000.0,2.0,1,5.0,2024,12,26,0.3275862068965517,1372592,31,01,04,0,206.0,1
18,1,1,004399,10560.0,2.0,1,5.0,2025,1,3,0.3275862068965517,1372592,31,01,04,0,0.0,1
18,1,5,001455,100.0,2.0,1,5.0,2025,1,3,0.3275862068965517,1372592,31,01,04,0,10560.0,1
18,1,5,003765,100.0,2.0,1,5.0,2025,1,6,0.3275862068965517,1372592,31,01,04,0,10660.0,1
18,1,5,000011,56.0,2.0,1,5.0,2025,1,7,0.3275862068965517,1372592,31,01,04,0,10760.0,1
18,1,5,470009,100.0,2.0,1,5.0,2025,1,14,0.3275862068965517,1372592,31,01,04,0,0.0,1
18,1,5,000011,56.0,2.0,1,5.0,2025,1,14,0.3275862068965517,1372592,31,01,04,0,100.0,1
18,1,5,161604,50.0,2.0,1,5.0,2025,1,15,0.3275862068965517,1372592,31,01,04,0,156.0,1
18,1,5,110011,100.0,2.0,1,5.0,2025,1,15,0.3275862068965517,1372592,31,01,04,0,206.0,1
18,1,2,040038,100.0,2.0,1,5.0,2025,1,16,0.3275862068965517,1372592,31,01,04,0,306.0,1
18,1,1,004399,12085.0,2.0,1,5.0,2025,1,16,0.3275862068965517,1372592,31,01,04,0,406.0,1
18,1,2,000475,102.61,2.0,1,5.0,2025,1,16,0.3275862068965517,1372592,31,01,04,0,12491.0,1
18,1,2,006646,49.55,2.0,1,5.0,2025,1,16,0.3275862068965517,1372592,31,01,04,0,12593.61,1
18,1,5,000083,100.0,2.0,1,5.0,2025,1,16,0.3275862068965517,1372592,31,01,04,0,12643.16,1
18,1,5,118002,100.0,2.0,1,5.0,2025,1,16,0.3275862068965517,1372592,31,01,04,0,12743.16,1
18,1,5,008864,100.0,2.0,1,5.0,2025,1,16,0.3275862068965517,1372592,31,01,04,0,12843.16,1
18,1,1,000836,102.61,2.0,1,5.0,2025,1,17,0.3275862068965517,1372592,31,01,04,0,12943.16,1
18,1,1,005253,100.0,2.0,1,5.0,2025,1,17,0.3275862068965517,1372592,31,01,04,0,13045.77,1
18,1,1,002864,49.55,2.0,1,5.0,2025,1,17,0.3275862068965517,1372592,31,01,04,0,13145.77,1
18,1,1,002847,5000.0,2.0,1,5.0,2025,1,23,0.3275862068965517,1372592,31,01,04,0,0.0,1
18,1,2,004399,10000.0,2.0,1,5.0,2025,1,24,0.3275862068965517,1372592,31,01,04,0,5000.0,1
18,1,1,460006,5000.0,2.0,1,5.0,2025,1,24,0.3275862068965517,1372592,31,01,04,0,15000.0,1
18,1,1,004399,200.0,2.0,1,5.0,2025,2,5,0.3275862068965517,1372592,31,01,04,0,0.0,1
18,1,1,004399,100.0,2.0,1,5.0,2025,2,5,0.3275862068965517,1372592,31,01,04,0,200.0,1
18,1,1,004399,10800.0,2.0,1,5.0,2025,2,6,0.3275862068965517,1372592,31,01,04,0,300.0,1
18,1,1,004399,10000.0,2.0,1,5.0,2025,2,7,0.3275862068965517,1372592,31,01,04,0,11100.0,1
18,1,1,004399,10000.0,2.0,1,5.0,2025,2,7,0.3275862068965517,1372592,31,01,04,0,21100.0,1
18,1,1,004399,3200.0,2.0,1,5.0,2025,2,7,0.3275862068965517,1372592,31,01,04,0,31100.0,1
18,1,1,004399,100000.0,2.0,1,5.0,2025,2,7,0.3275862068965517,1372592,31,01,04,0,34300.0,1
18,1,1,004169,18400.0,2.0,1,5.0,2025,2,7,0.3275862068965517,1372592,31,01,04,0,134300.0,1
18,1,4,002847,5003.17,2.0,1,5.0,2025,2,10,0.3275862068965517,1372592,31,01,04,0,152400.0,1
18,1,1,004399,10000.0,2.0,1,5.0,2025,2,12,0.3275862068965517,1372592,31,01,04,0,5003.17,1
18,1,2,004399,10000.0,2.0,1,5.0,2025,2,12,0.3275862068965517,1372592,31,01,04,0,15003.169999999998,1
18,1,5,161604,50.0,2.0,1,5.0,2025,2,12,0.3275862068965517,1372592,31,01,04,0,25003.17,1
18,1,4,460006,5003.41,2.0,1,5.0,2025,2,12,0.3275862068965517,1372592,31,01,04,0,25053.170000000002,1
18,1,1,004399,10000.0,2.0,1,5.0,2025,2,14,0.3275862068965517,1372592,31,01,04,0,30056.58,1
