CUST_ID,CUST_TYPE,label,anomaly_prob,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,feature_19,feature_20,feature_21,feature_22,feature_23,feature_24,feature_25,feature_26,feature_27,feature_28,feature_29,feature_30,feature_31,feature_32,feature_33,feature_34,feature_35,feature_36,feature_37,feature_38,feature_39,feature_40,feature_41,feature_42,feature_43,feature_44,feature_45,feature_46,feature_47,feature_48,feature_49,feature_50,feature_51,feature_52,feature_53,feature_54,feature_55,feature_56,feature_57,feature_58,feature_59,feature_60,feature_61,feature_62,feature_63
280648,1,0,0.007822488434612751,5.9716712e-15,3.0904916e-27,-0.7615477,0.7615942,1.2493184e-12,-1.6289916e-06,-0.76151323,3.969014e-07,-3.5129958e-25,-0.5419092,1.1269861e-16,8.4215483e-23,-0.761594,-0.7396426,-0.49326423,0.015302322,-0.76143277,0.75994265,0.00078329584,0.7615333,9.514525e-20,6.1560626e-05,0.75540984,0.7615942,0.7615942,0.00047462556,1.13705095e-20,1.296779e-11,-0.7615923,-0.008918356,1.5751723e-12,-0.0007744205,-2.8381678e-21,-0.75911474,2.3643717e-07,0.7615938,-1.22735845e-14,-0.0010805457,-1.8876096e-09,1.684024e-14,4.2406484e-08,-0.00019773237,0.7595559,1.4327412e-06,0.7615942,0.7615942,-1.0153613e-13,-2.1315532e-08,7.1901006e-16,0.76159406,0.0003619814,0.76157725,8.670065e-15,0.7602763,0.7615942,-0.0002971321,0.7615942,0.76146096,5.9951326e-05,-0.49523813,-3.4953863e-24,-0.19445045,-2.3362865e-12,5.5105697e-18
369000500008,1,0,0.23673325777053833,0.0,0.0,0.76052296,0.7615942,7.2173605e-33,-1.5535091e-24,0.7615942,6.2890915e-09,-0.0,-0.7615938,0.0,0.0,-0.7615942,-0.11733099,-0.18463883,0.032596853,3.8116428e-07,0.7615942,9.573647e-16,1.3340971e-07,0.0,-3.782604e-12,0.38641316,0.7615942,0.7615942,0.063612476,0.0,-2.6189681e-27,-0.7615941,-0.0005600003,1.9316144e-35,-1.2817657e-09,-0.0,-0.7615939,9.107845e-11,0.73776054,-0.0,-2.628848e-08,-2.2308375e-25,0.0,4.230609e-12,-0.15558004,0.7615942,4.8156726e-13,0.7615941,0.7615942,0.0,-7.385269e-17,0.0,0.7615942,1.4133061e-14,0.7615942,0.0,0.7615942,0.7615942,-2.258208e-19,0.7615942,0.76159406,2.1380629e-07,-9.160632e-07,0.0,-7.109903e-05,-4.5264726e-35,0.0
369001330089,1,0,0.004316286183893681,0.0,0.0,0.75674,1.0,0.0013932452,-3.3746926e-27,0.7615942,0.05337243,-0.0,-0.761594,0.0,0.0,-1.0,-0.9960604,-0.9338558,0.032465983,-0.9662471,0.7615942,1.32397156e-17,2.0640847e-08,0.0,1.734524e-14,0.5035706,1.0,1.0,0.72874093,0.0,-0.24446148,-1.0,-0.99951446,0.0077057346,-1.9662896e-10,-0.0,-0.7615919,8.178998e-13,0.76334554,-0.0,-0.94793653,-1.13162535e-29,0.0,4.3224257e-14,-0.028778002,0.7615942,1.4971049e-15,1.0,1.0,-0.0,-0.05580367,0.0,1.0,1.7282974e-17,1.0,0.0,0.7615942,0.7615942,-2.2881278e-21,0.7615942,0.7616407,3.8824506e-08,-1.9046522e-07,-0.00037411583,-1.2829679e-05,-0.12750141,0.06568603
369001360026,1,0,0.027396220713853836,0.0,0.0,0.76159215,0.99999833,3.9321063e-10,-1.556645e-32,0.7615942,7.866504e-06,-0.0,-0.7615931,0.0,0.0,-0.9999983,-0.9733905,-0.44311216,2.2362525e-05,-0.98272926,0.7615942,5.9489977e-21,1.2049062e-08,0.0,9.686884e-18,0.3258356,0.99999833,0.99999833,0.77222854,0.0,1.1957661e-08,-0.99999833,-0.1872778,2.5128701e-11,-3.5843687e-12,-0.0,-0.7615942,2.2234073e-18,0.76171696,-0.0,-0.00014193206,-8.311905e-34,0.0,1.0213989e-18,-0.008559623,0.7615942,3.4743167e-17,0.99999833,0.99999833,-0.0,-7.7625717e-10,0.0,0.99999833,8.4666775e-18,0.9999973,0.0,0.7615942,0.7615942,-1.839709e-24,0.7615942,0.76160043,5.0809267e-11,-5.6343987e-07,-7.9502605e-25,-0.0002037853,-9.928417e-13,1.685808e-15
46748,1,0,0.0026701081078499556,1.3260347e-38,0.0,0.13700806,1.0,9.940849e-12,-2.9201246e-16,0.76159394,0.006487623,-7.1844617e-38,-0.7615918,0.0,0.0,-0.9999987,-1.0,-1.0,0.9433831,0.017097915,0.76158404,1.4973202e-10,9.736126e-06,0.0,-1.3240584e-07,0.9737084,1.0,1.0,0.00016866236,0.0,-1.2881133e-08,-1.0,-0.99658656,2.8524373e-12,-1.5489344e-05,-0.0,-0.17132871,7.632128e-07,0.8321104,-1.20733005e-29,-0.01796336,-7.565827e-19,6.476616e-31,4.2966988e-07,-0.008799095,0.7607639,1.6066078e-10,1.0,1.0,3.5683347e-29,-1.2223306e-05,3.1950896e-36,0.9999963,5.156987e-12,1.0,9.720941e-34,0.7615943,0.7615942,-2.232573e-12,0.7615942,0.77633363,0.0051392177,-1.9361783e-05,-3.2395009e-22,-0.00024057919,-1.2605245e-11,1.8294843e-17
878,1,0,0.20990130305290222,0.0,0.0,0.76086867,0.7615942,1.4845494e-36,-5.7386465e-27,0.7615826,6.401485e-12,0.0,-0.7615819,0.0,0.0,-0.7615942,-0.054819524,-0.034759462,7.020842e-05,-1.1730014e-05,0.7615942,3.3062684e-17,1.5764577e-05,0.0,4.8959033e-14,0.6483961,0.7615942,0.7615942,0.021546328,0.0,-3.6447017e-30,-0.7615942,-8.496085e-05,0.0,-4.965958e-10,-0.0,-0.7615942,1.3598595e-15,0.7615843,-0.0,-3.1912561e-10,-3.4939843e-28,0.0,3.4004776e-16,-0.0018611016,0.7615942,1.1036082e-14,0.7615942,0.7615942,0.0,-1.212102e-21,0.0,0.7615942,2.4199667e-14,0.7615942,0.0,0.7615942,0.7615942,-8.703084e-20,0.7615942,0.7615942,3.1501004e-09,-1.043239e-05,0.0,-0.0033264074,0.0,0.0
369000980048,1,0,0.2357805222272873,0.0,0.0,0.76159406,0.7615942,0.0,-1.2467907e-35,0.7615941,2.2645897e-14,0.0,-0.76159406,0.0,0.0,-0.7615942,-0.016944395,-0.004753172,1.736672e-06,1.8943581e-08,0.7615942,7.544413e-23,6.002016e-07,0.0,1.5446348e-19,0.6586134,0.7615942,0.7615942,0.08911338,0.0,0.0,-0.7615942,-2.7662365e-06,0.0,-4.0239202e-15,-0.0,-0.7615942,3.3017607e-19,0.7615933,-0.0,-4.8307146e-14,-3.404088e-36,0.0,1.480525e-21,-0.0010164968,0.7615942,6.1197522e-18,0.7615942,0.7615942,0.0,-9.653547e-28,0.0,0.7615942,1.4551901e-18,0.7615942,0.0,0.7615942,0.7615942,-2.0821575e-27,0.7615942,0.7615942,4.4160686e-14,-3.0561398e-06,0.0,-6.601624e-05,0.0,0.0
369001050016,1,0,0.2056778222322464,0.0,0.0,0.76157296,0.7615942,0.0,-2.7882529e-34,0.7615623,2.7646327e-16,0.0,-0.7615909,0.0,0.0,-0.7615942,-0.058190834,-0.006995428,2.1353824e-07,-3.1257166e-06,0.7615942,3.4580905e-22,0.00015209196,0.0,1.8347843e-19,0.6999184,0.7615942,0.7615942,0.0039774347,0.0,0.0,-0.7615942,-2.683964e-06,0.0,-2.1834557e-15,-0.0,-0.7615942,1.9840948e-20,0.7615942,-0.0,-1.0784079e-14,-9.111821e-36,0.0,9.889653e-23,-7.182772e-05,0.7615942,1.834781e-18,0.7615942,0.7615942,0.0,-2.2635527e-29,0.0,0.7615942,4.0666027e-18,0.7615942,0.0,0.7615942,0.7615942,-8.4921655e-27,0.7615942,0.7615942,2.900965e-15,-7.5731655e-06,0.0,-0.0003991882,0.0,0.0
369000320075,1,0,0.03910301998257637,1.4264886e-30,0.0,0.7481568,0.9640276,5.554595e-19,-4.3092746e-13,0.76153266,1.7266386e-05,-2.6985e-41,-0.76110744,2.0650413e-38,0.0,-0.96388716,-0.8022223,-0.63821036,0.12643246,0.09661137,0.76158196,2.1236675e-08,0.00031662022,1.1285634e-33,-1.8838826e-07,0.5844402,0.9640276,0.9640276,0.03990674,5.1994976e-34,-5.6138002e-15,-0.96402115,-0.07008294,1.1930996e-19,-3.0706025e-05,-6.0766e-41,-0.75546986,7.8970675e-07,0.80059826,-6.670299e-24,-0.0017639871,-3.827766e-15,5.168747e-25,3.8392923e-07,-0.075178884,0.7612721,1.6588913e-08,0.96402735,0.9640276,1.1236585e-23,-2.1164926e-08,1.0621847e-33,0.9640183,7.5172775e-09,0.9637743,8.114697e-27,0.7615953,0.7615942,-1.7462728e-10,0.7615942,0.77028245,0.00034101383,-0.0005501965,-5.730739e-38,-0.0038839548,-1.7263733e-18,4.2525997e-28
369000540267,1,0,1.4574485476259724e-06,0.99994504,0.16366236,-0.79528475,0.18743294,-0.21296841,0.1812797,-0.9053265,0.106120616,-0.9962496,-0.5338773,0.9929225,0.87094855,-0.9987838,-0.57914686,-0.5180193,-0.010373365,-0.6983096,0.1048552,-0.8677024,0.9242837,0.98352146,0.7489619,0.23464839,0.4317767,0.26873943,0.0172506,0.7314389,0.24907438,-0.99308187,-0.96233547,-0.6305578,-0.99333704,-0.99058133,-0.010126808,-0.59857386,0.9964814,-0.80939543,-0.3055812,-0.09776838,0.99391663,0.023578487,-0.11069739,0.03974034,0.10415258,0.9963078,0.95340717,-0.66196406,-0.37074065,0.9731942,0.78279203,0.0409676,0.7317047,0.99735886,0.8421872,0.017674575,-0.99900556,0.54045343,0.3185954,0.9445468,-0.9398735,-0.99190813,-0.69421077,-0.99379134,-0.9967053
