CUST_ID,CUST_TYPE,BUSI_CODE,CONF_AMTS,GENDER,NET_CODE,RISK_LEV,CONF_YEAR,CONF_MONTH,CONF_DAY,AGE,TELL_PREFIX,COUNTY_PROV,COUNTY_CITY,COUNTY_DIST,FUND_CODE_FREQ,target
72548,1,5,3.3588193969620824e-08,1.0,3,1.0,2024,6,6,0.31034482758620685,1359101,11,01,06,0.007694744941836781,0
369000150080,1,5,5.374111035139332e-07,0.0,2,0.0,2024,6,6,0.3793103448275862,0,00,00,00,0.011134748562893225,0
369000170047,1,5,0.0,0.0,2,0.0,2024,6,6,0.3793103448275862,0,00,00,00,0.011134748562893225,0
369000320063,1,5,8.956851725232219e-08,2.0,1,0.8,2024,6,6,0.27586206896551724,1385096,31,01,05,0.01751686054406373,0
115878,1,5,2.0152916381772493e-07,1.0,3,1.0,2024,6,6,0.603448275862069,1503157,11,01,05,0.0019915810437695198,0
369001230019,2,2,0.0011199306812943515,0.0,1,1.0,2024,6,6,0.3793103448275862,1860475,00,00,00,0.0039831620875390395,1
115878,1,5,8.956851725232219e-08,1.0,3,1.0,2024,6,6,0.603448275862069,1503157,11,01,05,0.0024894763047119,0
369000240200,1,5,8.956851725232219e-08,0.0,2,0.0,2024,6,6,0.3793103448275862,0,00,00,00,0.034943194677047026,0
369000460487,1,5,3.3588193969620824e-08,2.0,1,0.8,2024,6,6,0.48275862068965514,1399808,32,01,02,0.034943194677047026,0
369000170047,1,5,0.0,0.0,2,0.0,2024,6,6,0.3793103448275862,0,00,00,00,0.034943194677047026,0
369000450471,1,5,2.0152916381772493e-07,2.0,1,0.6000000000000001,2024,6,6,0.43103448275862066,1338381,15,01,02,0.034943194677047026,0
369001230019,2,2,0.001119896566885343,0.0,1,1.0,2024,6,6,0.3793103448275862,1860475,00,00,00,0.00027157923324129817,1
369001230019,2,2,0.0011199474865874008,0.0,1,1.0,2024,6,6,0.3793103448275862,1860475,00,00,00,0.0023084234825510343,1
369001230019,2,2,0.0011199127451987719,0.0,1,1.0,2024,6,6,0.3793103448275862,1860475,00,00,00,0.0011768433440456252,1
369000170047,1,5,1.1196064656540277e-08,0.0,2,0.0,2024,6,6,0.3793103448275862,0,00,00,00,0.006880007242112887,0
4488,1,5,3.1348981038312765e-07,0.0,2,0.0,2024,6,6,0.3793103448275862,0,00,00,00,0.006880007242112887,0
4488,1,5,3.1348981038312765e-07,0.0,2,0.0,2024,6,6,0.3793103448275862,0,00,00,00,0.022088444303625582,0
87828,1,5,3.3588193969620824e-08,1.0,3,1.0,2024,6,6,0.4482758620689655,1398765,31,01,04,0.022088444303625582,0
369001230019,2,2,0.0011198699762317837,0.0,1,1.0,2024,6,6,0.3793103448275862,1860475,00,00,00,9.052641108043272e-05,1
369000460487,1,5,3.3588193969620824e-08,2.0,1,0.8,2024,6,6,0.48275862068965514,1399808,32,01,02,0.025121079074820078,0
369001230019,2,2,0.0011199247473800836,0.0,1,1.0,2024,6,6,0.3793103448275862,1860475,00,00,00,0.0019915810437695198,1
72548,1,5,8.956851725232219e-08,1.0,3,1.0,2024,6,6,0.31034482758620685,1359101,11,01,06,0.004435794142941203,0
369001100011,0,1,0.022392106920951234,0.0,1,1.0,2024,6,6,0.3793103448275862,1867332,00,00,00,0.001267369755126058,1
88448,1,5,8.956851725232219e-08,2.0,3,0.8,2024,6,6,0.1724137931034483,1366990,31,01,04,0.0026252659213325488,0
28,1,5,1.1196064656540277e-08,1.0,3,1.0,2024,6,6,0.3620689655172413,1362713,31,01,04,0.0008147376997238944,0
94128,1,2,0.003283752515279756,2.0,3,1.0,2024,6,6,0.2413793103448275,1525353,31,01,07,0.00013578961662064908,0
279788,1,2,0.001018819480419787,2.0,3,1.0,2024,6,6,0.3275862068965517,1528769,11,01,05,0.00013578961662064908,0
369001230019,2,1,0.0004366241294757576,0.0,1,1.0,2024,6,7,0.3793103448275862,1860475,00,00,00,0.00013578961662064908,1
87828,1,5,8.956851725232219e-08,1.0,3,1.0,2024,6,7,0.4482758620689655,1398765,31,01,04,0.0026252659213325488,0
369001230019,2,1,0.0004366241294757576,0.0,1,1.0,2024,6,7,0.3793103448275862,1860475,00,00,00,0.0017200018105282217,1
369001230019,2,1,0.0004366241294757576,0.0,1,1.0,2024,6,7,0.3793103448275862,1860475,00,00,00,0.0015389489883673561,1
