CUST_ID,CUST_TYPE,label,anomaly_prob,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,feature_19,feature_20,feature_21,feature_22,feature_23,feature_24,feature_25,feature_26,feature_27,feature_28,feature_29,feature_30,feature_31,feature_32,feature_33,feature_34,feature_35,feature_36,feature_37,feature_38,feature_39,feature_40,feature_41,feature_42,feature_43,feature_44,feature_45,feature_46,feature_47,feature_48,feature_49,feature_50,feature_51,feature_52,feature_53,feature_54,feature_55,feature_56,feature_57,feature_58,feature_59,feature_60,feature_61,feature_62,feature_63
369000550031,1,1,0.46552756428718567,0.0,0.9977385,-0.00012091216,-1.9989438e-33,-1.0,-1.8665297e-11,-1.572456e-10,-0.0,7.358028e-39,-1.0,0.6964039,-5.0750876e-10,8.143746e-39,5.0823636e-36,-3.571695e-05,0.0,-1.2084356e-37,1.0,2.642758e-05,3.0740757e-18,-1.0819378e-37,0.9970438,1.0,-1.9912494e-09,0.010529135,-0.7615946,-0.0,2.3855291e-08,-0.99999726,4.0529188e-32,0.006582388,-0.59560335,0.99999976,-1.0,-0.00772832,-0.049789026,0.7621156,-1.0,-0.47243997,-1.8105463e-14,-0.74956244,3.1531577e-08,-3.8516523e-11,-6.2737127e-10,-4.1224208e-08,2.3344236e-07,1.0,1.0,-1.5333044e-11,1.0,0.010088754,-1.6758709e-25,0.012016539,-7.080126e-11,0.7615942,0.0,1.8080926e-17,-3.3517396e-09,-2.74462e-05,-0.057542447,-2.721976e-10,3.2755118e-24,7.534228e-05,0.29098824
369000460463,1,0,0.0010585226118564606,0.84736973,-0.009503883,-0.006722674,-0.09571811,-0.9780313,-0.67231023,-0.015201516,-0.4568289,0.6541376,-0.79899704,0.004350816,-0.22851934,0.67573327,0.264813,-0.495587,0.7139974,-0.6837878,0.7318007,-0.009915404,0.11595297,-0.4024743,-0.003559476,0.9771488,0.9157298,0.7416195,-0.98165107,-0.18773952,0.9015715,-0.015571672,0.19516781,0.08803217,-0.32122684,0.39661688,0.056185495,-0.977477,-0.5744809,0.7065681,0.91507393,-0.30290163,-0.4815032,0.10210666,0.08791423,-0.8277812,-0.024287865,-0.9524036,-0.3126373,0.9772118,-0.51992077,-0.16884372,0.26446345,0.74977046,-0.54750323,0.95299274,0.76195705,-0.10289151,0.6902003,-0.51997805,-0.06048423,-0.8848961,-0.48329556,-0.04850839,-0.03360244,0.27141356,0.7842352
369001020006,1,1,0.9324208498001099,0.0,0.94754064,-9.6469605e-30,-5.365161e-38,-0.16472585,-3.5370318e-13,-1.4602057e-18,-0.0,0.0,-0.026254795,0.7508511,0.0,0.0,0.0,-1.1170708e-30,0.0,-0.0,0.08269655,1.2032976e-31,4.340086e-20,-0.0,0.9466286,0.000739638,-3.30461e-11,0.011680836,-0.761595,-0.0,2.759499e-10,-3.1937268e-06,1.707245e-36,2.4161596e-07,-0.22051312,0.015182917,-0.66181266,-0.025954539,-0.041127063,0.76171166,-0.0018540542,-0.6243538,-6.702707e-21,-0.85762537,3.7117456e-10,0.0,-2.3658853e-12,-7.905006e-09,9.759838e-10,0.9640276,0.9640276,-4.0226375e-13,0.9640276,0.01631904,-7.52604e-29,0.014383437,-3.7898213e-12,0.7615942,0.0,2.0789307e-19,0.0,-1.2334869e-05,-0.026176725,0.0,0.0,6.988756e-30,0.038129833
369000980053,1,1,0.9426876902580261,0.0,0.99489385,-8.4282173e-29,-5.2370317e-37,-0.10347912,-2.0367527e-13,-1.9011405e-17,-0.0,0.0,-0.62001294,0.75039643,0.0,0.0,4.429528e-37,-2.3867613e-31,0.0,-0.0,0.05912056,8.834011e-31,5.545351e-20,-0.0,0.96356,0.028095497,5.902402e-10,0.006382244,-0.761595,-0.0,1.7521443e-10,-2.986013e-06,5.020782e-37,5.29259e-07,-0.10824929,0.015599291,-0.9830684,-0.011147007,-0.023700248,0.76160717,-0.0013374737,-0.7328976,-3.689813e-21,-0.98982996,9.953213e-11,0.0,-1.4361759e-12,-2.625719e-08,3.4558864e-10,0.9950548,0.9950548,-3.1307647e-11,0.9950548,0.0052215676,-6.439843e-28,0.015258363,-1.0810889e-12,0.7615942,0.0,3.0693252e-18,0.0,-0.0006664112,-0.006119522,0.0,0.0,5.440662e-29,0.04707811
54408,1,0,0.0005990483332425356,2.5260457e-16,0.040363412,-0.80428106,-4.041542e-12,-1.0,-0.02974671,-1.555268e-05,-6.514578e-13,5.3212275e-06,-0.9999999,0.13427892,-0.26928198,-3.069195e-11,1.0827495e-11,-0.7361547,3.705241e-14,-3.7969842e-13,0.99999917,-0.7122028,0.00036002457,-1.463335e-12,0.02270691,1.0,0.9507649,0.7035849,-0.87346315,-1.5022681e-16,0.09830122,-0.0455278,1.4071304e-12,0.83068687,-0.7632799,0.976718,-0.042156484,-0.991576,-0.73682195,0.79305285,0.755078,-0.072663344,0.111984104,-0.2533183,0.016954526,-0.057260267,-8.042459e-05,-0.5540951,0.0032214413,0.9551811,0.99999887,-0.12824064,1.0,0.7467952,-4.9755116e-09,0.9840519,-0.027862756,0.7615942,2.9191025e-14,0.0005865535,-0.22039962,-0.19641155,-0.47657394,-0.064026594,-5.478734e-06,-0.24282955,0.9420111
369001030076,1,1,0.7572678923606873,0.0,0.11206304,-2.9880231e-30,-3.957768e-38,-0.084738806,-1.8029363e-13,-1.4400263e-17,-0.0,0.0,-0.0001343822,0.35688013,0.0,0.0,0.0,-1.4024872e-31,0.0,-0.0,0.040227644,7.3299937e-32,1.8142426e-21,-0.0,0.41107672,2.7682813e-06,-6.1552026e-12,0.02722679,-0.7615942,-0.0,4.445214e-11,-1.2345073e-05,1.11632915e-36,-1.5877387e-07,-0.21115357,0.006702445,-0.41529486,-0.022756323,-0.087145485,0.7615942,-0.000113637725,-0.33747828,-2.4125658e-21,-0.38613787,2.742386e-10,0.0,1.37061265e-11,-1.1009138e-09,1.0039948e-09,0.7615942,0.7615942,-2.0173142e-14,0.7615942,0.0931624,-2.4956978e-29,0.02159226,-1.7270872e-13,0.7615942,0.0,1.3845267e-20,0.0,-4.4971e-06,-0.15097713,0.0,0.0,1.3515424e-30,0.017741686
369001030040,1,1,0.8935853838920593,0.0,0.61476564,-4.355825e-30,-5.135713e-38,-0.047077972,-1.3199969e-13,-1.558187e-19,-0.0,0.0,-0.0021132042,0.7179972,0.0,0.0,0.0,-2.3338037e-31,0.0,-0.0,0.025284963,1.2609134e-31,4.7649038e-20,-0.0,0.71326685,8.8378554e-05,1.6348126e-11,0.025295185,-0.7615942,-0.0,2.8237003e-11,-1.0955517e-06,3.4573847e-37,-1.4004117e-07,-0.121007755,0.004823504,-0.36302522,-0.051310398,-0.060247615,0.7615942,-0.0001824732,-0.5370127,-1.5513982e-20,-0.57702315,7.81709e-11,0.0,-9.234681e-12,-3.117636e-08,9.7034575e-11,0.7615942,0.7615942,-3.6158007e-14,0.7615942,0.060435735,-1.0381952e-29,0.038954668,-5.2156337e-13,0.7615942,0.0,7.868432e-20,0.0,-6.6734888e-06,-0.03836344,0.0,0.0,1.3207783e-30,0.02523313
369001080477,1,1,0.9282759428024292,0.0,0.9883191,-2.1076578e-29,-3.0056964e-38,-0.08319571,-1.3903386e-13,-4.2086378e-19,-0.0,0.0,-0.017591404,0.7609023,0.0,0.0,0.0,-7.605437e-31,0.0,-0.0,0.04636602,8.187695e-31,1.2966604e-19,-0.0,0.93875086,0.0004409004,2.7511684e-11,0.010436309,-0.7615943,-0.0,8.0101675e-11,-5.575454e-06,1.7269107e-37,-3.3435123e-07,-0.39921007,0.0086220885,-0.7064791,-0.026524208,-0.037147872,0.7616655,-0.0006208495,-0.62258565,-3.683206e-20,-0.84369767,4.178423e-10,0.0,-1.1050894e-11,-1.2659733e-07,4.0641512e-10,0.9950548,0.9950548,-1.2816221e-13,0.9950548,0.010945182,-7.835341e-30,0.027565563,-1.1827416e-12,0.7615942,0.0,2.0032704e-19,0.0,-3.99885e-06,-0.019796755,0.0,0.0,3.6962034e-30,0.037926547
369001110005,1,0,0.007010075729340315,0.9972922,-0.15755692,-0.006807358,-0.78551304,-0.1880231,-0.94415677,-0.041634776,0.1694287,-0.10989497,-0.35374847,0.01820756,-0.991468,0.84024787,0.7997349,-0.67206407,0.60934657,-0.95735395,0.5099992,-0.9354877,0.9042205,-0.9295504,0.052136913,0.3443372,0.9988119,0.76364374,-0.98223644,-0.82632387,0.97030425,0.0023285497,0.1766659,0.07687389,-0.20796351,0.13482733,-0.4232895,-0.990677,-0.1858778,0.8635155,0.45782888,-0.3728801,-0.92180854,0.9285584,-0.060793392,-0.831594,-0.045792308,-0.9553541,-0.7220351,0.84049726,0.9563068,-0.7968916,0.37715265,0.39276516,-0.9905207,0.988143,0.95215446,-0.021342527,0.6682739,0.99923444,-0.11973863,-0.9455561,-0.56044155,-0.99650675,-0.18717226,-0.52593815,0.5677016
245288,1,0,0.12159653753042221,3.1801641e-28,0.73497945,-5.96101e-15,-3.0067945e-19,-0.45134842,-4.4055324e-07,-1.5341968e-10,-2.1878283e-22,4.168753e-25,-0.7117376,0.30809292,-4.0238917e-30,2.4212835e-21,1.6080795e-18,-6.674457e-17,3.5031876e-30,-5.3114906e-22,0.4930106,3.725582e-16,1.5055743e-09,-1.0793573e-20,0.10793695,0.5434759,4.1494877e-05,0.36803308,-0.7615942,-8.614473e-27,1.6379505e-05,-0.00011504445,6.147145e-20,0.0020598932,-0.37404865,0.3204898,-0.1786368,-0.4624058,-0.44812915,0.7615935,-0.07313517,-0.4070767,-2.586002e-10,-0.65887797,9.459708e-07,-7.9510145e-35,-7.60582e-07,-0.0019084024,1.9578492e-06,0.7615942,0.7615942,-4.3954083e-06,0.7615942,0.38063514,-3.3345635e-15,0.47680113,-1.0913719e-06,0.7615942,5.5945073e-24,3.6726724e-09,-2.0228865e-27,-0.04485919,-0.1533848,-1.7464338e-28,2.2922565e-28,9.903344e-16,0.48311684
